number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
45.87,"[-13, -14, 8, -17]","[16, 0, 0, 0]"
5.72,"[7, -1, -6, 1]","[8, 0, 0, 0]"
30.10,"[9, -14, 12, -15]","[13, 0, 0, 0]"
1.14,"[19, 19, 6, 17]","[0, 0, 0, 16]"
48.24,"[-19, 8, -15, -15]","[15, 7, 0, 0]"
6.49,"[-15, 12, -1, -3]","[3, 13, 0, 0]"
4.12,"[-5, 17, 17, 9]","[0, 0, 11, 8]"
56.46,"[13, -8, -14, -14]","[18, 0, 0, 0]"
3.87,"[1, 18, -6, 3]","[0, 16, 0, 0]"
3.80,"[-3, -10, -3, 13]","[7, 0, 0, 0]"
6.25,"[0, 7, -18, 17]","[6, 6, 0, 0]"
14.76,"[19, -1, -9, -1]","[10, 0, 0, 0]"
9.96,"[-13, -10, -6, 9]","[9, 0, 0, 0]"
37.34,"[18, 18, -19, -2]","[7, 19, 0, 0]"
6.63,"[4, -1, 19, -5]","[0, 0, 19, 0]"
46.78,"[14, 17, -13, -15]","[10, 17, 0, 0]"
15.48,"[10, 12, -11, 2]","[6, 12, 0, 0]"
3.56,"[15, 0, 16, -3]","[1, 0, 16, 0]"
4.95,"[-18, -1, 10, -1]","[4, 0, 11, 0]"
6.33,"[-18, 10, -4, 0]","[4, 11, 0, 0]"
5.72,"[-7, 1, -19, 17]","[8, 0, 0, 0]"
6.67,"[-18, 8, 6, 1]","[3, 8, 4, 2]"
18.00,"[11, 9, -13, 2]","[9, 7, 0, 0]"
2.28,"[7, 10, -8, 19]","[0, 3, 0, 15]"
51.16,"[16, -13, -8, -11]","[17, 0, 0, 0]"
4.89,"[5, -10, 13, 8]","[3, 0, 5, 9]"
7.44,"[18, 6, -1, -5]","[7, 5, 1, 0]"
3.90,"[-6, 4, -11, 9]","[7, 1, 0, 0]"
61.76,"[-13, -3, -17, -17]","[19, 0, 0, 0]"
2.32,"[14, -1, 1, 12]","[2, 1, 1, 12]"
28.80,"[18, 5, 9, -17]","[10, 1, 10, 0]"
14.58,"[11, 17, 10, -9]","[0, 15, 10, 0]"
19.78,"[-16, -4, -16, 8]","[11, 0, 0, 0]"
1.76,"[1, 0, 18, 15]","[0, 0, 2, 15]"
14.76,"[-19, -16, 19, -10]","[10, 0, 0, 0]"
45.87,"[10, -13, -11, -4]","[16, 0, 0, 0]"
51.16,"[-18, 0, -16, -15]","[17, 0, 0, 0]"
13.60,"[16, 8, -13, 6]","[8, 7, 0, 0]"
34.17,"[-11, 10, -9, -13]","[11, 10, 0, 0]"
14.76,"[13, -12, -9, 11]","[10, 0, 0, 0]"
31.29,"[12, 3, -4, -18]","[13, 2, 0, 0]"
4.50,"[-14, 2, -3, 5]","[6, 1, 0, 3]"
35.33,"[-2, -18, 19, -19]","[14, 0, 0, 0]"
2.51,"[-12, -8, 17, 1]","[2, 0, 13, 0]"
1.32,"[-5, 18, -4, 17]","[0, 1, 0, 16]"
3.74,"[-13, 16, -10, 12]","[0, 13, 0, 3]"
2.79,"[-3, 8, 19, 14]","[0, 0, 4, 15]"
5.36,"[1, 3, 9, -2]","[4, 1, 11, 0]"
1.14,"[12, 11, 10, 18]","[0, 0, 0, 16]"
1.60,"[-14, 16, 19, 0]","[0, 0, 16, 0]"
40.59,"[-7, -3, -10, -16]","[15, 0, 0, 0]"
15.10,"[-19, 17, -12, 4]","[2, 18, 0, 0]"
2.98,"[19, 13, 1, 2]","[1, 13, 0, 1]"
4.14,"[18, 16, -3, 14]","[0, 6, 0, 13]"
39.05,"[-16, 12, -11, -13]","[11, 12, 0, 0]"
1.14,"[-9, 13, 7, 16]","[0, 0, 0, 16]"
21.94,"[-6, 12, 16, -13]","[0, 13, 16, 0]"
61.76,"[14, -19, -8, -12]","[19, 0, 0, 0]"
25.48,"[9, 3, -8, -11]","[12, 1, 0, 0]"
9.96,"[-4, -12, 8, 1]","[9, 0, 0, 0]"
31.75,"[-1, 14, -17, -1]","[8, 15, 0, 0]"
32.75,"[5, 1, 19, -19]","[7, 0, 19, 0]"
24.91,"[3, -10, -5, -5]","[12, 0, 0, 0]"
2.84,"[5, 1, 14, 4]","[0, 0, 14, 3]"
1.14,"[-18, -3, 3, 16]","[0, 0, 0, 16]"
40.59,"[-8, -8, -2, -18]","[15, 0, 0, 0]"
21.40,"[-15, -7, 13, -13]","[9, 0, 9, 0]"
22.64,"[11, 7, 11, -13]","[7, 1, 14, 0]"
9.96,"[12, -6, -1, -1]","[9, 0, 0, 0]"
5.64,"[1, 19, 4, 7]","[0, 10, 2, 8]"
4.12,"[8, 11, 19, 9]","[0, 0, 11, 8]"
24.32,"[11, 9, -16, 4]","[9, 10, 0, 0]"
61.76,"[7, -19, -13, -6]","[19, 0, 0, 0]"
5.72,"[-19, -19, 18, 2]","[8, 0, 0, 0]"
26.09,"[6, -3, 19, -15]","[6, 0, 18, 0]"
4.62,"[17, 12, 6, -4]","[2, 12, 3, 0]"
6.05,"[-15, 7, -14, 15]","[5, 5, 0, 3]"
30.10,"[14, -11, -11, 5]","[13, 0, 0, 0]"
30.10,"[-16, -14, 3, -7]","[13, 0, 0, 0]"
51.16,"[-4, -14, -11, -8]","[17, 0, 0, 0]"
4.12,"[-10, 12, 16, 8]","[0, 0, 11, 8]"
29.46,"[2, 0, 12, -17]","[9, 0, 13, 0]"
3.97,"[-19, -18, 18, 12]","[4, 0, 0, 10]"
13.60,"[-10, 7, 0, -9]","[8, 7, 0, 0]"
14.76,"[-16, -18, 6, 12]","[10, 0, 0, 0]"
30.10,"[17, -18, 5, 0]","[13, 0, 0, 0]"
1.88,"[-19, 4, 0, 15]","[0, 2, 1, 15]"
20.52,"[-3, -3, 5, -13]","[11, 0, 1, 0]"
31.27,"[11, 1, 9, -18]","[11, 0, 9, 0]"
51.16,"[2, -16, -5, -11]","[17, 0, 0, 0]"
2.28,"[-18, 17, -1, 15]","[0, 3, 0, 15]"
5.14,"[18, 11, -8, 15]","[0, 10, 0, 9]"
33.82,"[17, 6, 8, -19]","[11, 1, 10, 0]"
4.86,"[-16, -18, 14, 13]","[5, 0, 0, 7]"
3.80,"[-8, -13, -4, 17]","[7, 0, 0, 0]"
4.46,"[9, -10, 16, 9]","[1, 0, 9, 9]"
14.76,"[19, -11, -13, 14]","[10, 0, 0, 0]"
5.72,"[-11, -4, -19, 18]","[8, 0, 0, 0]"
40.59,"[12, -16, -12, 7]","[15, 0, 0, 0]"
5.90,"[4, 8, -9, 14]","[2, 8, 0, 8]"
