s_num,s_c,s_l,e_l,s_pos,rmse
6,"[354.57898529320425, 191.03544989270833, 172.72138325162376, 260.18852528287454, 306.80286324890506, 158.77664206508294]","[0.31668828841613633, 0.36062301262380125, 0.39984325289037526, 0.3718786937516054, 0.20477276704309572, 0.18981755428847225]",1.8284810137615992,"[0.4, 0.38, -0.13, -0.2, 0.4, 0.38]",1.6313337152918443
3,"[334.82694810273483, 237.4061956386898, 399.6776090371643, nan, nan, nan]","[0.2530806759425449, 0.379382449329172, 0.15291478008734646, nan, nan, nan]",0.3316022388267547,"[0.08, 0.08, 0.4, nan, nan, nan]",0.4990526377992493
6,"[161.6721955462463, 301.1552964198862, 277.3868956707486, 291.3965090247087, 259.1630125897712, 336.29832866135666]","[0.19651243658534004, 0.15610781327893208, 0.17878860811249297, 0.17840357601746873, 0.28247593610240274, 0.2710473018136455]",1.2147233802857604,"[0.08, 0.33, 0.32, 0.24, -0.17, 0.0]",0.8726901973335324
5,"[302.2638763632996, 195.6249771770958, 460.4855317784332, 200.6854749318915, 352.9935186576229, nan]","[0.2613144524701616, 0.2778756933917632, 0.20936528523505127, 0.266121776053894, 0.23721999849105707, nan]",2.977024808745199,"[0.37, -0.05, 0.37, 0.3, 0.39, nan]",1.8284123169763224
5,"[437.37506878449835, 441.1816116913267, 225.71474211996852, 285.7608865553796, 353.70053585578796, nan]","[0.18422768592736163, 0.2965012099035106, 0.2914487976258229, 0.15158115139115674, 0.3389115323845696, nan]",1.8270567857265885,"[0.38, -0.06, 0.32, 0.32, 0.09, nan]",1.1012119382162195
2,"[415.2258201247007, 413.154787954956, nan, nan, nan, nan]","[0.2423885443272385, 0.2831990528097008, nan, nan, nan, nan]",0.4143842589371371,"[0.39, 0.25, nan, nan, nan, nan]",1.2076830004872314
3,"[231.07111796325944, 245.856921146133, 278.232726295004, nan, nan, nan]","[0.20670543925004894, 0.2380784707255398, 0.18579735874465775, nan, nan, nan]",0.5445132087500171,"[0.4, -0.01, 0.4, nan, nan, nan]",0.5991245451842334
4,"[414.06203143577306, 414.03119648377947, 451.9626337537958, 335.9873994325584, nan, nan]","[0.34012466723357104, 0.1858496447446429, 0.15173747043192218, 0.281485737464679, nan, nan]",1.112281275710706,"[-0.07, 0.16, 0.4, -0.07, nan, nan]",0.695845229969073
6,"[316.8461229075687, 288.818545674865, 301.4720508394677, 342.0417564880837, 266.6497406140558, 463.23575303485404]","[0.24303227778249686, 0.152251721033762, 0.20389070457773414, 0.21857980936396237, 0.2762167155506525, 0.38155815522599157]",1.8828839652395168,"[0.01, 0.3, 0.39, 0.36, -0.18, -0.06]",1.056777633745687
5,"[436.51906089064346, 235.32520627173585, 489.2644175914283, 337.0382929618036, 261.49586211551946, nan]","[0.39091412304174955, 0.38897413971226436, 0.2922539702610662, 0.26999326750636765, 0.3232986585530635, nan]",0.4209324208105247,"[-0.2, 0.07, 0.4, 0.17, 0.26, nan]",1.655404288928354
