Wall time,Step,Value
1618559852.7213254,2500,15.6899995803833
1618559877.6200356,5000,16.34000015258789
1618559902.7273078,7500,16.700000762939453
1618559927.9447372,10000,17.139999389648438
1618559952.3377733,12500,15.149999618530273
1618559976.5878065,15000,22.59000015258789
1618560001.2530022,17500,28.75
1618560026.4243822,20000,35.33000183105469
1618560051.87809,22500,48.709999084472656
1618560077.4374216,25000,62.540000915527344
1618560102.9623563,27500,74.87000274658203
1618560129.064687,30000,77.61000061035156
1618560154.772425,32500,96.97000122070312
