Wall time,Step,Value
1618569809.8852262,2500,-3.176729679107666
1618569827.7791295,5000,-3.1754751205444336
1618569845.5616298,7500,-3.172633647918701
1618569863.4004653,10000,-3.1571884155273438
1618569881.2585154,12500,-3.133610725402832
1618569899.0663528,15000,-3.070890426635742
1618569917.272823,17500,-2.693726062774658
1618569936.5134907,20000,-2.130463123321533
1618569955.3381174,22500,-2.1231091022491455
1618569973.6946375,25000,-1.7934600114822388
1618569992.7220066,27500,-1.3494025468826294
1618570011.3753142,30000,-1.1787750720977783
1618570030.142064,32500,-1.0491067171096802
1618570048.643485,35000,-1.0176314115524292
1618570067.0678198,37500,-0.9751571416854858
1618570085.5303686,40000,-0.9494493007659912
1618570104.009362,42500,-0.9090115427970886
1618570122.4621758,45000,-0.8342649936676025
1618570140.966491,47500,-0.8541732430458069
1618570159.6223893,50000,-0.8089556694030762
1618570178.092777,52500,-0.8422886729240417
1618570196.619722,55000,-0.8322054743766785
1618570215.0724416,57500,-0.88096684217453
1618570235.4364429,60000,-0.8407331705093384
1618570254.6291437,62500,-0.8155937194824219
1618570273.6463003,65000,-0.8210213780403137
1618570292.3173287,67500,-0.7490456104278564
1618570311.9408014,70000,-0.7511947751045227
1618570332.0104566,72500,-0.8343790769577026
1618570350.6143775,75000,-0.7879276275634766
1618570369.1100924,77500,-0.8188962936401367
1618570387.9908745,80000,-0.820483386516571
1618570407.7384956,82500,-0.896290123462677
1618570426.722328,85000,-0.9292065501213074
1618570445.2659264,87500,-1.0065110921859741
1618570463.7322073,90000,-1.1269726753234863
1618570482.3385267,92500,-1.0590542554855347
1618570501.1043828,95000,-0.9073674082756042
1618570519.7493947,97500,-0.908412516117096
1618570538.3889,100000,-0.928970456123352
