Wall time,Step,Value
1618557357.8815057,122,0.08600649982690811
1618557358.1123621,154,-0.31229788064956665
1618557358.5694618,204,-0.3109580874443054
1618557359.016149,263,-0.3821351230144501
1618557359.4578454,319,-0.379465788602829
1618557359.7524722,358,-0.41033315658569336
1618557360.348275,435,-0.3586844205856323
1618557360.6340892,470,-0.37556612491607666
1618557362.086705,653,-0.208065003156662
1618557362.5622807,716,-0.20764227211475372
1618557363.1328223,793,-0.23542338609695435
1618557364.1590645,918,-0.17905953526496887
1618557364.3159666,941,-0.2179490178823471
1618557364.44684,959,-0.2667587399482727
1618557364.6807377,995,-0.2813397943973541
1618557365.4625354,1084,-0.2451740950345993
1618557365.636658,1110,-0.2786528468132019
1618557365.953178,1153,-0.2958037555217743
1618557366.4934316,1226,-0.2875637114048004
1618557367.0902941,1303,-0.2793968915939331
1618557367.2216384,1323,-0.30329471826553345
1618557368.326405,1462,-0.2763656675815582
1618557368.5892758,1502,-0.28407949209213257
1618557368.7285104,1522,-0.3100711405277252
1618557369.1694975,1578,-0.32320496439933777
1618557369.2564485,1593,-0.35856786370277405
1618557369.3999062,1613,-0.36115241050720215
1618557369.8144467,1660,-0.37494054436683655
1618557370.4163291,1731,-0.3667033016681671
1618557370.8073926,1784,-0.36982461810112
1618557370.9674344,1809,-0.3804270327091217
1618557371.3446743,1854,-0.40441134572029114
1618557371.5988991,1887,-0.40817129611968994
1618557372.0086555,1928,-0.482400506734848
1618557372.4714713,1989,-0.49059584736824036
1618557373.0071626,2039,-0.4886417090892792
1618557373.3501287,2075,-0.5344579219818115
1618557374.2833917,2191,-0.5045206546783447
1618557375.360315,2319,-0.4516559839248657
1618557375.8477788,2377,-0.4409661293029785
1618557375.9777725,2392,-0.4894731640815735
1618557376.3895698,2436,-0.4903051257133484
1618557376.9411085,2502,-0.46610110998153687
1618557377.3067925,2553,-0.47290894389152527
1618557377.758177,2610,-0.48768922686576843
1618557378.554815,2695,-0.4678468406200409
1618557379.220431,2773,-0.4770617187023163
1618557380.2499745,2911,-0.4187401533126831
