Wall time,Step,Value
1618557357.8815682,122,56.0
1618557358.112442,154,63.0
1618557358.569514,204,71.0
1618557359.016202,263,79.0
1618557359.457948,319,84.0
1618557359.7525253,358,88.0
1618557360.348327,435,93.0
1618557360.6341424,470,95.0
1618557362.0867572,653,102.0
1618557362.5623336,716,104.0
1618557363.1328757,793,106.0
1618557364.1591222,918,108.0
1618557364.316019,941,109.0
1618557364.4468925,959,109.0
1618557364.6807897,995,110.0
1618557365.4625893,1084,111.0
1618557365.6367104,1110,111.0
1618557365.9532309,1153,112.0
1618557366.4934845,1226,113.0
1618557367.0903463,1303,114.0
1618557367.2217278,1323,114.0
1618557368.3264575,1462,115.0
1618557368.5893295,1502,116.0
1618557368.728564,1522,116.0
1618557369.1695483,1578,117.0
1618557369.256501,1593,117.0
1618557369.3999586,1613,117.0
1618557369.8144991,1660,117.0
1618557370.4163826,1731,117.0
1618557370.8074448,1784,118.0
1618557370.9674876,1809,118.0
1618557371.3447275,1854,118.0
1618557371.5989523,1887,118.0
1618557372.0087278,1928,118.0
1618557372.471524,1989,118.0
1618557373.0072145,2039,117.0
1618557373.3501813,2075,117.0
1618557374.2834456,2191,117.0
1618557375.3604045,2319,117.0
1618557375.8478327,2377,117.0
1618557375.977826,2392,117.0
1618557376.3896227,2436,117.0
1618557376.941166,2502,117.0
1618557377.30686,2553,118.0
1618557377.7582307,2610,118.0
1618557378.5549085,2695,117.0
1618557379.2205024,2773,117.0
1618557380.250049,2911,118.0
1618557380.2902071,2920,118.0
1618557380.569338,2949,118.0
1618557380.964708,2994,118.0
1618557381.5476673,3066,118.0
1618557382.6659188,3186,118.0
1618557382.9826138,3228,118.0
1618557383.2249863,3256,118.0
1618557383.7845986,3323,118.0
1618557384.228133,3373,118.0
1618557384.8183732,3451,118.0
1618557385.4137533,3522,118.0
1618557386.3077228,3622,118.0
1618557386.3959281,3637,118.0
1618557387.5714145,3769,118.0
1618557387.7933474,3795,118.0
1618557388.1352034,3844,118.0
1618557389.2031462,3969,118.0
1618557389.5004156,3999,118.0
1618557389.7868557,4034,118.0
1618557390.2388904,4088,118.0
1618557390.814739,4148,118.0
1618557391.5352645,4242,118.0
1618557391.682199,4265,118.0
1618557392.5105193,4360,118.0
1618557393.002964,4415,118.0
1618557393.3865652,4470,118.0
1618557393.5766363,4499,118.0
1618557394.0430453,4554,118.0
1618557394.2701762,4588,118.0
1618557395.199578,4695,118.0
1618557395.6759794,4749,118.0
1618557396.0829816,4791,118.0
1618557396.1532817,4804,118.0
1618557396.5631511,4854,118.0
1618557396.8752105,4898,118.0
1618557397.160526,4933,118.0
1618557397.8215535,5022,119.0
1618557398.0638406,5050,119.0
1618557398.688068,5121,119.0
1618557398.9915562,5156,119.0
1618557399.6396415,5240,119.0
1618557400.1883965,5310,119.0
1618557400.8742797,5391,119.0
1618557401.8553083,5500,119.0
1618557402.374115,5564,119.0
1618557403.6753376,5708,118.0
1618557403.9422276,5746,119.0
1618557404.3615975,5791,119.0
1618557405.3752933,5893,118.0
1618557406.118866,5978,118.0
1618557406.3178663,6001,118.0
1618557406.5121539,6026,118.0
1618557406.8070648,6059,118.0
1618557407.0380962,6086,118.0
1618557407.1034691,6095,118.0
1618557407.8659124,6171,118.0
1618557408.4504614,6252,118.0
1618557408.7165732,6291,118.0
1618557408.960414,6325,118.0
1618557409.632694,6416,118.0
1618557410.3503907,6510,119.0
1618557410.6586962,6554,119.0
1618557411.4135478,6650,119.0
1618557411.902846,6703,119.0
1618557412.450823,6769,119.0
1618557412.8547494,6829,119.0
1618557413.2603455,6887,119.0
1618557413.79528,6962,119.0
1618557414.6652267,7081,120.0
1618557415.536957,7202,120.0
1618557415.5744486,7211,120.0
1618557415.7564545,7239,120.0
1618557416.1514852,7298,120.0
1618557416.443306,7342,120.0
1618557416.9794009,7418,121.0
1618557417.1525154,7444,121.0
1618557417.710146,7521,121.0
1618557418.079242,7572,121.0
1618557418.507341,7634,121.0
1618557418.7025094,7663,121.0
1618557419.371024,7755,121.0
1618557420.075854,7854,122.0
1618557420.7340488,7941,122.0
1618557420.8752513,7964,122.0
1618557421.1220424,8001,122.0
1618557421.3992035,8042,122.0
1618557421.5645669,8067,122.0
1618557422.295343,8167,122.0
1618557423.019476,8269,122.0
1618557423.489305,8335,122.0
1618557423.5694318,8350,123.0
1618557423.9181669,8400,123.0
1618557424.2039678,8441,123.0
1618557424.3142645,8459,123.0
1618557425.4388473,8610,123.0
1618557425.963411,8683,123.0
1618557426.3047993,8733,123.0
1618557426.692671,8788,123.0
1618557426.8839064,8817,123.0
1618557426.989887,8836,123.0
1618557427.4079428,8895,124.0
1618557427.5015168,8911,124.0
1618557427.822503,8956,124.0
1618557428.202144,9011,124.0
1618557428.9620113,9119,124.0
1618557429.6227612,9212,124.0
1618557429.895751,9251,124.0
1618557431.5968466,9483,124.0
1618557432.2802324,9581,125.0
1618557432.7145746,9641,125.0
1618557433.369537,9730,125.0
1618557433.611836,9765,125.0
1618557433.9072015,9807,125.0
1618557434.0960796,9837,125.0
1618557434.6933985,9919,125.0
1618557434.8630037,9946,125.0
