number of springs: 3
Number of slots: 20
spring_constants: [200, 300, 250]
spring_lengths: [0.15, 0.2, 0.17]
rmse,initial guess,final install positions
20.241474063415104,[ 19   1 -13],[19 12  0]
1.9185303514190797,[-15   4   1],[17  2  1]
1.573324278229141,[ 9  4 -2],[18  2  0]
4.801928536854361,[ 8  7 -4],[17  6  0]
3.733556396885305,[-5  5  2],[15  4  2]
2.989132868990631,[ 5 18  2],[ 0 14  1]
1.2590078829092595,[  2 -16   6],[19  0  0]
33.0505156370135,[  2  -8 -19],[19 17  0]
22.739880077474165,[-16   1 -14],[19 13  0]
2.4707125239556462,[ -1 -13  -4],[19  2  0]
4.018269955699887,[ 10 -13  19],[13  0  8]
1.2590078829092595,[16 -8 -1],[19  0  0]
3.8348309120926776,[  2 -13  18],[14  0  7]
3.3864373778188175,[-12  -3  -5],[19  3  0]
25.28017886615163,[-16   3 -15],[19 14  0]
5.09170533757292,[-11  11  -1],[10 11  0]
15.449003216064515,[-14  -4 -10],[19 10  0]
3.8348309120926776,[-10  -9  14],[14  0  7]
1.1289975419824818,[-4 -1  3],[18  0  1]
2.989132868990631,[ 1 18  3],[ 0 14  1]
2.161165527633034,[ 1 -6 18],[ 2  0 15]
11.125861450808486,[-14 -17  -8],[19  8  0]
13.215530375050909,[-18 -18  -9],[19  9  0]
3.998409720233587,[-15   0   9],[12  0  9]
1.2590078829092595,[ 17 -14  -1],[19  0  0]
1.6030473277478154,[13  0 17],[ 0  0 16]
30.442417699092513,[  9  11 -18],[19 16  0]
6.321789827204652,[ 0  7 -5],[17  7  0]
22.739880077474165,[ 15 -14 -14],[19 13  0]
17.802587563486586,[-15  -4 -11],[19 11  0]
1.2590078829092595,[-14  -9   5],[19  0  0]
1.1289975419824818,[15 -2  2],[18  0  1]
8.65263528668191,[-5 19 -7],[ 0 18  0]
5.820720620137502,[10 15 10],[ 0 10 10]
1.2590078829092595,[-16 -17  10],[19  0  0]
5.1729848933659115,[ 1 19 12],[ 0  7 13]
8.840505355289398,[13 14 -6],[ 9 14  0]
25.23025955067676,[ 14  18 -15],[13 18  0]
3.462666970407237,[1 0 6],[15  0  6]
17.802587563486586,[ 11  -4 -11],[19 11  0]
4.87949521232909,[-19  12  -1],[ 8 12  0]
3.9826173192903607,[ 2 -2 13],[ 8  0 12]
27.850415718801724,[-11 -16 -16],[19 15  0]
20.241474063415104,[-19   9 -12],[19 12  0]
1.2590078829092595,[ -9 -10   1],[19  0  0]
1.1289975419824818,[10 -7  8],[18  0  1]
5.460258849451949,[-8 10 -2],[12 10  0]
