rmse,initial guess,final install positions
5.09,"[10, 12, 4, 10]","[0, 7, 2, 12]"
25.08,"[3, 4, 4, -16]","[11, 1, 5, 0]"
4.12,"[6, 8, 11, 9]","[0, 0, 11, 8]"
35.33,"[5, -3, -4, -18]","[14, 0, 0, 0]"
20.75,"[-9, 6, 7, -12]","[8, 3, 10, 0]"
35.33,"[1, -14, -10, 5]","[14, 0, 0, 0]"
24.91,"[-9, -5, -17, 7]","[12, 0, 0, 0]"
9.38,"[-16, 19, 2, -7]","[0, 18, 1, 0]"
51.16,"[12, -8, -19, -7]","[17, 0, 0, 0]"
5.09,"[-2, 10, 4, 3]","[2, 10, 1, 3]"
45.87,"[6, -8, -15, -7]","[16, 0, 0, 0]"
19.78,"[18, -7, -7, 0]","[11, 0, 0, 0]"
4.45,"[-11, 17, 12, 3]","[0, 5, 13, 2]"
4.12,"[11, 3, 14, 8]","[0, 0, 11, 8]"
35.33,"[12, -13, -15, 9]","[14, 0, 0, 0]"
35.33,"[8, -8, 7, -18]","[14, 0, 0, 0]"
5.58,"[0, 8, 12, -1]","[0, 8, 12, 0]"
24.91,"[-7, -17, 7, 1]","[12, 0, 0, 0]"
30.10,"[-15, -11, -10, 1]","[13, 0, 0, 0]"
24.91,"[-17, 1, -15, 1]","[12, 0, 0, 0]"
1.97,"[-9, 2, -8, 18]","[1, 2, 0, 14]"
61.76,"[16, -17, -14, -11]","[19, 0, 0, 0]"
56.46,"[12, -15, -18, 1]","[18, 0, 0, 0]"
11.83,"[-4, 18, 1, -8]","[1, 18, 0, 0]"
40.59,"[-15, -12, -2, -13]","[15, 0, 0, 0]"
61.76,"[19, -14, -19, -9]","[19, 0, 0, 0]"
4.58,"[-2, -2, -15, 18]","[6, 0, 0, 3]"
26.24,"[-6, 17, 18, -16]","[0, 13, 18, 0]"
1.14,"[17, -11, 12, 16]","[0, 0, 0, 16]"
3.74,"[-1, 15, -14, 17]","[0, 13, 0, 3]"
2.85,"[-1, -5, -9, 19]","[3, 0, 0, 11]"
8.81,"[8, 14, 16, -6]","[0, 6, 17, 0]"
19.78,"[-14, -19, 9, 5]","[11, 0, 0, 0]"
4.73,"[-13, -6, 18, -3]","[2, 0, 15, 0]"
35.33,"[-8, -12, 3, -11]","[14, 0, 0, 0]"
40.59,"[-14, -16, 5, -9]","[15, 0, 0, 0]"
19.78,"[0, 3, -8, -8]","[11, 0, 0, 0]"
1.14,"[-12, 10, 8, 18]","[0, 0, 0, 16]"
24.91,"[15, -11, -3, -4]","[12, 0, 0, 0]"
51.16,"[6, -3, -14, -15]","[17, 0, 0, 0]"
61.76,"[-9, -13, -12, -13]","[19, 0, 0, 0]"
4.48,"[15, -4, 14, -3]","[3, 0, 13, 0]"
61.76,"[6, -18, -19, -1]","[19, 0, 0, 0]"
35.33,"[19, -17, -7, 7]","[14, 0, 0, 0]"
11.49,"[-11, 9, -3, -6]","[7, 8, 0, 0]"
14.76,"[18, -13, -4, 9]","[10, 0, 0, 0]"
3.97,"[13, -14, 4, 19]","[4, 0, 0, 10]"
4.58,"[10, -4, -8, 12]","[6, 0, 0, 3]"
1.76,"[12, 1, 14, 15]","[0, 0, 2, 15]"
2.84,"[14, 16, 2, 2]","[0, 14, 0, 2]"
4.86,"[4, -6, -4, 12]","[5, 0, 0, 7]"
25.96,"[-2, -9, 13, -16]","[11, 0, 6, 0]"
3.74,"[14, 14, -6, 9]","[0, 13, 0, 3]"
35.33,"[-3, -18, 4, -2]","[14, 0, 0, 0]"
24.91,"[4, -13, 7, -7]","[12, 0, 0, 0]"
5.14,"[-16, 19, -1, 10]","[0, 10, 0, 9]"
30.10,"[18, -1, -8, -12]","[13, 0, 0, 0]"
9.06,"[-17, 15, 13, -5]","[0, 10, 13, 0]"
5.58,"[2, 14, 12, -1]","[0, 8, 12, 0]"
35.33,"[18, -16, 14, -15]","[14, 0, 0, 0]"
5.78,"[-5, 9, 13, -2]","[0, 7, 14, 0]"
35.33,"[4, -16, 2, -6]","[14, 0, 0, 0]"
61.76,"[-16, -13, -17, -10]","[19, 0, 0, 0]"
28.00,"[-7, 7, -6, -15]","[12, 4, 0, 0]"
22.14,"[-8, 17, -18, 8]","[4, 18, 0, 0]"
14.43,"[5, 18, -8, -3]","[1, 19, 0, 0]"
24.91,"[0, 3, -19, 7]","[12, 0, 0, 0]"
5.89,"[7, 14, 7, 2]","[0, 11, 7, 1]"
23.95,"[-3, -1, 16, -14]","[6, 0, 17, 0]"
5.72,"[-7, -14, -2, 14]","[8, 0, 0, 0]"
2.94,"[-12, -12, 13, 10]","[3, 0, 1, 11]"
56.46,"[-16, -18, -11, -2]","[18, 0, 0, 0]"
35.33,"[-15, -11, 8, -16]","[14, 0, 0, 0]"
22.00,"[6, 16, 6, -15]","[4, 17, 3, 0]"
19.78,"[5, -4, -16, 8]","[11, 0, 0, 0]"
19.78,"[-19, -11, 11, -11]","[11, 0, 0, 0]"
1.60,"[13, 8, 16, 0]","[0, 0, 16, 0]"
9.32,"[-13, 5, 5, -5]","[6, 4, 7, 0]"
14.76,"[11, -15, 5, 8]","[10, 0, 0, 0]"
19.75,"[10, 11, -12, 0]","[7, 12, 0, 0]"
13.42,"[0, 15, -2, -8]","[3, 16, 0, 0]"
10.95,"[-9, 15, -7, -2]","[3, 15, 0, 0]"
3.80,"[-18, -1, 3, 0]","[7, 0, 0, 0]"
61.76,"[-12, -14, -16, -14]","[19, 0, 0, 0]"
61.76,"[-16, -19, -10, -8]","[19, 0, 0, 0]"
9.79,"[-14, 7, -10, 5]","[7, 7, 0, 0]"
51.16,"[8, -14, -15, 0]","[17, 0, 0, 0]"
3.74,"[14, 15, -2, 6]","[0, 13, 0, 3]"
4.90,"[12, 6, -1, 11]","[1, 7, 0, 11]"
3.80,"[11, -5, -1, 4]","[7, 0, 0, 0]"
30.10,"[0, -9, -6, -8]","[13, 0, 0, 0]"
12.40,"[19, -5, 9, -10]","[9, 0, 3, 0]"
12.12,"[14, 8, 2, -8]","[7, 8, 1, 0]"
1.14,"[12, -18, 18, 19]","[0, 0, 0, 16]"
1.68,"[-3, -7, 0, 18]","[1, 0, 0, 15]"
11.76,"[-19, 19, 11, -7]","[0, 13, 11, 0]"
57.04,"[-14, 15, -17, -17]","[13, 15, 0, 0]"
5.83,"[8, -12, 15, 6]","[4, 0, 5, 7]"
8.79,"[9, 2, 17, -7]","[2, 0, 17, 0]"
1.14,"[-19, 6, 17, 16]","[0, 0, 0, 16]"
