number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
19.78,"[15, -2, -19, 11]","[11, 0, 0, 0]"
40.59,"[-11, -2, -10, -14]","[15, 0, 0, 0]"
4.50,"[18, 1, -6, 7]","[6, 1, 0, 3]"
3.95,"[-1, 5, 18, 7]","[0, 0, 12, 7]"
20.99,"[18, 6, -9, -9]","[11, 2, 0, 0]"
2.95,"[5, -1, 12, 2]","[2, 0, 12, 2]"
4.50,"[-13, 5, -8, 8]","[6, 1, 0, 3]"
14.76,"[18, -6, 3, -8]","[10, 0, 0, 0]"
1.14,"[-11, 10, 13, 17]","[0, 0, 0, 16]"
45.87,"[-3, -14, -14, 0]","[16, 0, 0, 0]"
51.16,"[-10, -11, -19, 1]","[17, 0, 0, 0]"
3.48,"[18, -10, 19, -1]","[3, 0, 12, 0]"
51.16,"[8, -3, -18, -12]","[17, 0, 0, 0]"
19.63,"[-11, 16, 8, -12]","[2, 16, 8, 0]"
30.10,"[5, -19, 5, 4]","[13, 0, 0, 0]"
45.87,"[-9, -4, -12, -16]","[16, 0, 0, 0]"
1.76,"[-7, 4, 7, 15]","[0, 0, 2, 15]"
56.46,"[-5, -4, -16, -15]","[18, 0, 0, 0]"
6.87,"[-4, 2, -2, -5]","[8, 1, 1, 0]"
28.23,"[4, -7, 14, -16]","[10, 0, 10, 0]"
1.14,"[-14, -1, 11, 19]","[0, 0, 0, 16]"
35.33,"[-8, -6, -6, -13]","[14, 0, 0, 0]"
13.67,"[5, 4, 18, -9]","[2, 1, 19, 0]"
24.77,"[-8, 11, 15, -15]","[3, 11, 15, 0]"
9.96,"[-10, -1, -5, -3]","[9, 0, 0, 0]"
1.14,"[15, 1, 11, 17]","[0, 0, 0, 16]"
19.97,"[-7, 8, -19, 10]","[9, 8, 0, 0]"
6.56,"[14, 6, -16, 19]","[4, 6, 0, 5]"
23.45,"[-6, 11, 7, -16]","[8, 11, 2, 0]"
1.14,"[8, -5, 16, 17]","[0, 0, 0, 16]"
8.27,"[10, 8, -12, 8]","[7, 6, 0, 0]"
1.76,"[-12, -6, 15, 15]","[0, 0, 2, 15]"
3.87,"[11, 17, -12, 10]","[0, 16, 0, 0]"
5.16,"[6, 7, 11, 4]","[0, 5, 12, 3]"
35.33,"[11, -5, -1, -17]","[14, 0, 0, 0]"
24.73,"[-19, 18, -13, -4]","[4, 19, 0, 0]"
9.96,"[-11, 1, -7, 0]","[9, 0, 0, 0]"
24.30,"[3, 12, -10, -6]","[8, 12, 0, 0]"
45.87,"[-12, -19, 1, -7]","[16, 0, 0, 0]"
10.52,"[15, 5, -19, 14]","[9, 1, 0, 0]"
14.76,"[19, -17, 13, -3]","[10, 0, 0, 0]"
