sample,rmse,initial guess,final install positions
1,19.78,"[15, -2, -19, 11]","[11, 0, 0, 0]"
2,40.59,"[-11, -2, -10, -14]","[15, 0, 0, 0]"
3,4.5,"[18, 1, -6, 7]","[6, 1, 0, 3]"
4,3.95,"[-1, 5, 18, 7]","[0, 0, 12, 7]"
5,20.99,"[18, 6, -9, -9]","[11, 2, 0, 0]"
6,2.95,"[5, -1, 12, 2]","[2, 0, 12, 2]"
7,4.5,"[-13, 5, -8, 8]","[6, 1, 0, 3]"
8,14.76,"[18, -6, 3, -8]","[10, 0, 0, 0]"
9,1.14,"[-11, 10, 13, 17]","[0, 0, 0, 16]"
10,45.87,"[-3, -14, -14, 0]","[16, 0, 0, 0]"
11,51.16,"[-10, -11, -19, 1]","[17, 0, 0, 0]"
12,3.48,"[18, -10, 19, -1]","[3, 0, 12, 0]"
13,51.16,"[8, -3, -18, -12]","[17, 0, 0, 0]"
14,19.63,"[-11, 16, 8, -12]","[2, 16, 8, 0]"
15,30.1,"[5, -19, 5, 4]","[13, 0, 0, 0]"
16,45.87,"[-9, -4, -12, -16]","[16, 0, 0, 0]"
17,1.76,"[-7, 4, 7, 15]","[0, 0, 2, 15]"
18,56.46,"[-5, -4, -16, -15]","[18, 0, 0, 0]"
19,6.87,"[-4, 2, -2, -5]","[8, 1, 1, 0]"
20,28.23,"[4, -7, 14, -16]","[10, 0, 10, 0]"
21,1.14,"[-14, -1, 11, 19]","[0, 0, 0, 16]"
22,35.33,"[-8, -6, -6, -13]","[14, 0, 0, 0]"
23,13.67,"[5, 4, 18, -9]","[2, 1, 19, 0]"
24,24.77,"[-8, 11, 15, -15]","[3, 11, 15, 0]"
25,9.96,"[-10, -1, -5, -3]","[9, 0, 0, 0]"
26,1.14,"[15, 1, 11, 17]","[0, 0, 0, 16]"
27,19.97,"[-7, 8, -19, 10]","[9, 8, 0, 0]"
28,6.56,"[14, 6, -16, 19]","[4, 6, 0, 5]"
29,23.45,"[-6, 11, 7, -16]","[8, 11, 2, 0]"
30,1.14,"[8, -5, 16, 17]","[0, 0, 0, 16]"
31,8.27,"[10, 8, -12, 8]","[7, 6, 0, 0]"
32,1.76,"[-12, -6, 15, 15]","[0, 0, 2, 15]"
33,3.87,"[11, 17, -12, 10]","[0, 16, 0, 0]"
34,5.16,"[6, 7, 11, 4]","[0, 5, 12, 3]"
35,35.33,"[11, -5, -1, -17]","[14, 0, 0, 0]"
36,24.73,"[-19, 18, -13, -4]","[4, 19, 0, 0]"
37,9.96,"[-11, 1, -7, 0]","[9, 0, 0, 0]"
38,24.3,"[3, 12, -10, -6]","[8, 12, 0, 0]"
39,45.87,"[-12, -19, 1, -7]","[16, 0, 0, 0]"
40,10.52,"[15, 5, -19, 14]","[9, 1, 0, 0]"
41,14.76,"[19, -17, 13, -3]","[10, 0, 0, 0]"
42,56.46,"[-1, -11, -12, -13]","[18, 0, 0, 0]"
43,24.91,"[7, -18, 6, 6]","[12, 0, 0, 0]"
44,32.71,"[1, 8, -17, -4]","[12, 7, 0, 0]"
45,29.95,"[4, 14, 6, -19]","[8, 14, 1, 0]"
46,5.04,"[-14, 9, 10, 6]","[0, 4, 12, 4]"
47,11.36,"[-11, 9, -5, -2]","[6, 10, 0, 0]"
48,20.86,"[-9, 8, 18, -13]","[2, 8, 18, 0]"
49,61.76,"[-14, -19, -5, -15]","[19, 0, 0, 0]"
50,61.76,"[6, -5, -15, -18]","[19, 0, 0, 0]"
51,14.57,"[-12, 14, -8, -2]","[4, 15, 0, 0]"
52,9.2,"[-4, 2, 7, -5]","[6, 1, 9, 0]"
53,15.32,"[4, 9, -10, 2]","[7, 10, 0, 0]"
54,7.97,"[3, 10, -18, 16]","[5, 10, 0, 0]"
55,19.78,"[-17, -13, 13, -10]","[11, 0, 0, 0]"
56,61.76,"[-12, -17, -8, -17]","[19, 0, 0, 0]"
57,10.88,"[-11, -12, 18, -7]","[7, 0, 8, 0]"
58,1.94,"[19, -6, 2, 15]","[2, 0, 0, 13]"
59,4.58,"[-5, 7, 0, 11]","[1, 6, 1, 11]"
60,33.82,"[13, 4, 8, -19]","[11, 1, 10, 0]"
61,3.8,"[12, -12, -2, 14]","[7, 0, 0, 0]"
62,4.36,"[-13, -5, 6, 7]","[4, 0, 2, 9]"
63,4.04,"[10, -7, 10, 10]","[2, 0, 5, 11]"
64,30.1,"[18, 2, -12, -8]","[13, 0, 0, 0]"
65,14.76,"[-18, -9, -5, 5]","[10, 0, 0, 0]"
66,4.86,"[17, -9, 3, 12]","[5, 0, 0, 7]"
67,46.43,"[10, 6, -18, -12]","[16, 1, 0, 0]"
68,40.59,"[-18, -1, -5, -19]","[15, 0, 0, 0]"
69,3.8,"[2, -1, -17, 17]","[7, 0, 0, 0]"
70,25.82,"[-16, 11, 6, -17]","[8, 12, 2, 0]"
71,3.8,"[-9, -2, -8, 8]","[7, 0, 0, 0]"
72,4.99,"[0, 4, -3, -2]","[7, 3, 0, 0]"
73,6.52,"[-6, 8, 4, -3]","[5, 7, 2, 0]"
74,4.12,"[7, 14, 11, 9]","[0, 0, 11, 8]"
75,5.72,"[10, -9, 9, -4]","[8, 0, 0, 0]"
76,2.01,"[0, 11, 17, 3]","[0, 0, 15, 2]"
77,2.21,"[15, 0, -10, 19]","[2, 1, 0, 13]"
78,30.1,"[-12, -14, -5, 3]","[13, 0, 0, 0]"
79,12.1,"[16, 7, -9, -3]","[9, 3, 0, 0]"
80,30.1,"[-9, -14, -8, 5]","[13, 0, 0, 0]"
81,45.87,"[3, -1, -13, -15]","[16, 0, 0, 0]"
82,19.78,"[3, -5, -9, -3]","[11, 0, 0, 0]"
83,2.85,"[18, -3, -10, 19]","[3, 0, 0, 11]"
84,59.64,"[16, 16, -18, -17]","[13, 16, 0, 0]"
