sample,rmse,initial guess,final install positions,time elapsed
1,53.96,"[array([  2,  12,  -2, -18]), array([340, 540, 470, 620]), array([0.25, 0.15, 0.15, 0.25])]","[array([10., 18.,  0.,  0.]), array([530., 570., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",4.47
2,3.56,"[array([ -2, -18,  11,  14]), array([440, 300, 330, 350]), array([0.15, 0.25, 0.15, 0.25])]","[array([19.,  0.,  0.,  4.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",4.41
3,82.3,"[array([ 17, -12,  -8, -18]), array([680, 670, 260, 290]), array([0.25, 0.15, 0.15, 0.25])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",4.33
4,16.39,"[array([-14,  -9,  18,  16]), array([370, 270, 760, 560]), array([0.15, 0.15, 0.25, 0.25])]","[array([ 0.,  0.,  0., 11.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]",4.7
5,3.81,"[array([13,  6,  2,  0]), array([780, 220, 770, 330]), array([0.25, 0.15, 0.25, 0.25])]","[array([19.,  0.,  2.,  1.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",5.14
6,23.88,"[array([ -1, -12,   4,   5]), array([340, 600, 780, 710]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([440., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",5.12
7,75.25,"[array([ 16, -14,  14, -16]), array([330, 740, 540, 580]), array([0.25, 0.15, 0.15, 0.15])]","[array([18.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]",4.67
8,5.96,"[array([-11,  19,   0,  -9]), array([430, 440, 640, 210]), array([0.25, 0.25, 0.15, 0.25])]","[array([ 3., 14.,  0.,  7.]), array([200., 290., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",22.97
9,21.61,"[array([-13,  12, -15,   6]), array([770, 310, 530, 390]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([420., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",25.25
10,45.46,"[array([  7,   7, -13, -17]), array([570, 550, 310, 360]), array([0.15, 0.15, 0.25, 0.25])]","[array([19.,  0.,  0.,  0.]), array([630., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]",23.43
