number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
3.79603059937425,[-16 -14   1   3],[7 0 0 0]
3.79603059937425,[ 13   2  -8 -11],[7 0 0 0]
3.79603059937425,[  5 -14  -7  12],[7 0 0 0]
3.79603059937425,[  6 -15 -18  -3],[7 0 0 0]
2.5131180362202663,[15  5  9 -4],[ 2  0 13  0]
3.9467552043848357,[-5 10 18  7],[ 0  0 12  7]
3.79603059937425,[  7  -1 -13  11],[7 0 0 0]
2.4539601218630653,[ 12  17 -14  -9],[ 0 15  0  0]
1.6758217520083412,[ 14 -16  14  19],[ 1  0  0 15]
3.79603059937425,[-11 -18 -11  15],[7 0 0 0]
1.6030473277478106,[-18   0  16  -1],[ 0  0 16  0]
2.5131180362202663,[ 12   4  12 -10],[ 2  0 13  0]
3.629947394624848,[18 11  3 10],[ 0  5  1 14]
3.79603059937425,[ 19  -4  -1 -14],[7 0 0 0]
3.79603059937425,[ 17 -16  -2  -1],[7 0 0 0]
3.477936360274864,[-11  -1  12  -8],[ 3  0 12  0]
2.3818792811202107,[ -4  17  13 -11],[ 0  2 16  0]
3.79603059937425,[ 12  -4 -15  -8],[7 0 0 0]
2.4539601218630653,[ -5  15 -14 -14],[ 0 15  0  0]
3.79603059937425,[  0 -19  -2   8],[7 0 0 0]
5.0267805962290595,[-9 17 -5 10],[ 0 11  0  8]
3.79603059937425,[ 12  -3 -14   3],[7 0 0 0]
2.4539601218630653,[ 13  16 -19  10],[ 0 15  0  0]
3.79603059937425,[  9  -4   1 -19],[7 0 0 0]
4.380526014850216,[ 13 -19  10  17],[6 1 1 2]
2.4539601218630653,[  3  19 -17  -8],[ 0 15  0  0]
5.791700590621799,[  4  12   8 -12],[ 0 11  8  0]
5.936813606298296,[ 17   7 -10  -7],[5 5 1 2]
2.4539601218630653,[ -6  16 -18   9],[ 0 15  0  0]
3.79603059937425,[ -8 -15   4   7],[7 0 0 0]
4.380526014850216,[ 0 -7  5  6],[6 1 1 2]
4.123904448257917,[-15  15  12   8],[ 0  0 11  8]
5.791700590621799,[ 13  10   8 -13],[ 0 11  8  0]
1.1398206821796109,[-1  5  7 17],[ 0  0  0 16]
5.806640076421827,[ 3 17 11 -1],[ 0  9 11  0]
4.056807255936472,[-8  7 11 12],[ 0  0  7 12]
2.7298986948935697,[-19  12  15   5],[ 0  1 14  3]
4.056807255936472,[-19  11  14  12],[ 0  0  7 12]
3.79603059937425,[ 4 -5  0 -5],[7 0 0 0]
3.79603059937425,[  1  -1  -4 -11],[7 0 0 0]
2.189314949695521,[ 0 16 -1 12],[ 0  2  2 15]
3.79603059937425,[ -8  -4 -16   9],[7 0 0 0]
3.79603059937425,[  3 -15 -10  -9],[7 0 0 0]
3.79603059937425,[ 18 -19  -4 -16],[7 0 0 0]
3.79603059937425,[ -6 -13   6  -2],[7 0 0 0]
3.79603059937425,[-18 -17 -17 -11],[7 0 0 0]
3.79603059937425,[ 15  -2 -13   9],[7 0 0 0]
3.79603059937425,[-11 -14   4   3],[7 0 0 0]
3.79603059937425,[-14  -3 -13 -11],[7 0 0 0]
2.9473525270793544,[ 19 -10  18   2],[ 2  0 12  2]
2.189314949695521,[16 12 -9 19],[ 0  2  2 15]
3.79603059937425,[ 14 -16  -7 -14],[7 0 0 0]
3.79603059937425,[ 12 -18  -3  17],[7 0 0 0]
3.79603059937425,[ 13 -15  -7   7],[7 0 0 0]
4.380526014850216,[-11  -3   1   6],[6 1 1 2]
2.85426277066817,[-5 -9  6 12],[ 3  0  0 11]
2.7298986948935697,[-13   9  17   5],[ 0  1 14  3]
3.79603059937425,[ -9 -16 -17  11],[7 0 0 0]
2.4539601218630653,[-15  16  -5 -10],[ 0 15  0  0]
3.79603059937425,[ -5   3   6 -10],[7 0 0 0]
3.626547430633677,[-14   5  10  13],[ 0  0  6 13]
3.79603059937425,[ -2   7 -18   1],[7 0 0 0]
3.79603059937425,[ 1 -7 -9  9],[7 0 0 0]
3.79603059937425,[ 12 -13  -9  -4],[7 0 0 0]
1.9446872520456024,[ 0  2 -8 17],[ 2  0  0 13]
3.79603059937425,[ 15 -18   4  -2],[7 0 0 0]
2.4539601218630653,[ 12  19 -18  15],[ 0 15  0  0]
3.79603059937425,[ 6  2 -5 -5],[7 0 0 0]
3.79603059937425,[-3  0 -7 -3],[7 0 0 0]
1.7097803118176786,[ -6 -16  19  14],[ 0  1  1 15]
3.79603059937425,[-17 -11 -12   6],[7 0 0 0]
3.79603059937425,[  5 -19  -6 -11],[7 0 0 0]
3.79603059937425,[ 11   5 -17 -11],[7 0 0 0]
5.585557803521226,[-12   4   5   0],[5 0 7 1]
5.0267805962290595,[  1  11 -12  17],[ 0 11  0  8]
4.380526014850216,[13  6 -7 -9],[6 1 1 2]
3.79603059937425,[  6  -4   5 -10],[7 0 0 0]
5.0267805962290595,[-12  19   0   8],[ 0 11  0  8]
2.92112449891933,[-4 13 -8 -5],[ 1 14  0  0]
4.198859395702368,[-2 12  9 10],[ 0  0 10 10]
1.1398206821796109,[ 3 -5  0 18],[ 0  0  0 16]
3.79603059937425,[ 12 -17  -5  -1],[7 0 0 0]
3.79603059937425,[ -5 -16 -15 -14],[7 0 0 0]
3.79603059937425,[ -9  -3 -10   9],[7 0 0 0]
3.587419118775396,[-9  9 13  6],[ 0  1 13  5]
5.74573479892251,[ -2   7 -10  12],[4 9 0 1]
2.4539601218630653,[-19  14  -6  -6],[ 0 15  0  0]
3.79603059937425,[ 17 -15   4 -19],[7 0 0 0]
4.056807255936472,[-13   8  10  12],[ 0  0  7 12]
2.0529355475462285,[-3 -3 16 -4],[ 1  0 15  0]
5.791700590621799,[15 11  9  0],[ 0 11  8  0]
3.587419118775396,[10 15 16  6],[ 0  1 13  5]
3.79603059937425,[  6 -19  -7  14],[7 0 0 0]
3.79603059937425,[  8 -17   7 -19],[7 0 0 0]
3.79603059937425,[-3 -7 -2 -4],[7 0 0 0]
4.198859395702368,[10 -6 15 10],[ 0  0 10 10]
1.6030473277478106,[-17  -1  19 -17],[ 0  0 16  0]
1.6030473277478106,[ 3 11 15 -4],[ 0  0 16  0]
3.79603059937425,[-15 -10 -18  11],[7 0 0 0]
3.79603059937425,[ 15 -16   8   7],[7 0 0 0]
