sample,rmse,initial guess,final install positions,time elapsed
1,4.38,"[17, -13, 14, 4]","[6, 1, 1, 2]",7.775659799575806
2,3.8,"[4, -12, -19, 8]","[7, 0, 0, 0]",7.741510152816772
3,4.38,"[-8, 6, -18, 17]","[6, 1, 1, 2]",7.7470011711120605
4,2.45,"[9, 15, 0, -9]","[0, 15, 0, 0]",7.796058177947998
5,1.14,"[3, 18, -1, 18]","[0, 0, 0, 16]",7.755285263061523
6,1.14,"[10, -4, 11, 17]","[0, 0, 0, 16]",7.679471492767334
7,3.8,"[13, -10, -6, -6]","[7, 0, 0, 0]",7.794684648513794
8,1.71,"[11, 18, 1, 15]","[0, 1, 1, 15]",7.808377981185913
9,3.8,"[0, -16, -6, -11]","[7, 0, 0, 0]",7.767953395843506
10,2.45,"[-14, 19, -7, -17]","[0, 15, 0, 0]",7.691035985946655
11,3.59,"[-16, 15, 15, 6]","[0, 1, 13, 5]",7.732292652130127
12,2.45,"[14, 17, -18, 14]","[0, 15, 0, 0]",7.681329965591431
13,4.51,"[17, -10, 16, 2]","[4, 0, 10, 0]",7.736151456832886
14,4.2,"[-17, 17, 16, 10]","[0, 0, 10, 10]",7.797383546829224
15,3.8,"[13, -10, -8, -12]","[7, 0, 0, 0]",7.780180931091309
16,1.71,"[-5, -3, 12, 14]","[0, 1, 1, 15]",7.786962032318115
17,4.4,"[-11, 10, -14, -4]","[3, 11, 0, 0]",7.663516044616699
18,3.8,"[-9, 2, -8, -18]","[7, 0, 0, 0]",7.764315128326416
19,2.85,"[-12, -12, 13, 10]","[3, 0, 0, 11]",7.832787036895752
20,1.71,"[-10, 18, 0, 14]","[0, 1, 1, 15]",7.670168876647949
21,1.6,"[-15, 8, 16, -2]","[0, 0, 16, 0]",7.719042778015137
22,2.04,"[18, -8, 18, -9]","[1, 0, 14, 1]",7.805654048919678
23,3.8,"[11, 5, -8, 5]","[7, 0, 0, 0]",7.902421474456787
24,3.8,"[-6, -1, -5, -3]","[7, 0, 0, 0]",7.75172758102417
25,5.14,"[-17, 19, -8, 15]","[0, 10, 0, 9]",7.821778059005737
26,1.6,"[2, 16, 17, -6]","[0, 0, 16, 0]",7.686139345169067
27,4.68,"[3, 12, -6, 10]","[0, 12, 0, 6]",7.775076150894165
28,3.8,"[1, -3, 0, -12]","[7, 0, 0, 0]",7.751659154891968
29,2.45,"[-15, 19, -15, 13]","[0, 15, 0, 0]",7.716541290283203
30,4.12,"[-19, -4, 14, 8]","[0, 0, 11, 8]",7.815768241882324
31,1.6,"[-10, -2, 18, -2]","[0, 0, 16, 0]",7.748980522155762
32,3.8,"[0, -7, -11, -19]","[7, 0, 0, 0]",7.827111005783081
33,1.14,"[8, 8, 8, 17]","[0, 0, 0, 16]",7.775676965713501
34,2.73,"[16, 5, 15, 4]","[0, 1, 14, 3]",7.800037384033203
35,3.8,"[15, 0, -9, 8]","[7, 0, 0, 0]",7.725533723831177
36,3.8,"[-1, -14, -17, 6]","[7, 0, 0, 0]",7.75844407081604
37,1.71,"[16, -16, 19, 14]","[0, 1, 1, 15]",7.747045993804932
