number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
15.96,"[array([15, 10, 18,  9]), array([210, 640, 260, 470]), array([0.15, 0.25, 0.25, 0.25])]","[array([ 0.,  0., 12.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
42.05,"[array([-11,   5, -14, -10]), array([700, 670, 400, 450]), array([0.25, 0.15, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([600., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
54.23,"[array([-13, -18,  -4,   0]), array([740, 670, 350, 720]), array([0.25, 0.25, 0.15, 0.15])]","[array([15.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
4.77,"[array([19,  3,  6, -9]), array([690, 660, 260, 200]), array([0.15, 0.15, 0.15, 0.15])]","[array([ 8.,  2., 17.,  0.]), array([210., 200., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.97,"[array([-13,  10,  -9,   2]), array([210, 710, 770, 730]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  1.]), array([210., 320., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
27.29,"[array([-16, -10,  -1,   4]), array([720, 700, 800, 230]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([470., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
29.76,"[array([  5, -17,   2,   5]), array([390, 480, 400, 800]), array([0.15, 0.15, 0.25, 0.25])]","[array([17.,  0.,  0.,  0.]), array([580., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
16.39,"[array([17, 18, -7, 15]), array([730, 320, 630, 590]), array([0.15, 0.25, 0.25, 0.25])]","[array([ 0.,  0.,  0., 11.]), array([200., 200., 200., 230.]), array([0.25, 0.25, 0.25, 0.25])]"
15.41,"[array([  7,  10,   1, -10]), array([240, 530, 460, 590]), array([0.15, 0.25, 0.15, 0.15])]","[array([19.,  0., 11.,  0.]), array([270., 260., 230., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
13.85,"[array([-7,  3, -5, 16]), array([220, 240, 590, 660]), array([0.15, 0.15, 0.25, 0.25])]","[array([11.,  0.,  0.,  8.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
27.73,"[array([ 11,  -5,  11, -12]), array([390, 460, 610, 680]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0., 11.,  0.]), array([360., 200., 280., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
82.30,"[array([-17, -18, -11,   4]), array([420, 370, 650, 340]), array([0.25, 0.15, 0.15, 0.15])]","[array([19.,  0.,  0.,  0.]), array([800., 200., 200., 200.]), array([0.15, 0.25, 0.25, 0.25])]"
26.41,"[array([ -8,   4, -16,  11]), array([640, 200, 770, 560]), array([0.15, 0.15, 0.25, 0.15])]","[array([ 8., 19.,  0.,  0.]), array([510., 350., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
