sample,rmse,initial guess,final install positions
1,15.96,"[15, 10, 18,  9], [210, 640, 260, 470], [0.15, 0.25, 0.25, 0.25]]","[ 0.,  0., 12.,  0.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
2,42.05,"[-11,   5, -14, -10], [700, 670, 400, 450], [0.25, 0.15, 0.25, 0.15]]","[19.,  0.,  0.,  0.], [600., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
3,54.23,"[-13, -18,  -4,   0], [740, 670, 350, 720], [0.25, 0.25, 0.15, 0.15]]","[15.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
4,4.77,"[19,  3,  6, -9], [690, 660, 260, 200], [0.15, 0.15, 0.15, 0.15]]","[ 8.,  2., 17.,  0.], [210., 200., 230., 200.], [0.25, 0.25, 0.25, 0.25]]"
5,2.97,"[-13,  10,  -9,   2], [210, 710, 770, 730], [0.15, 0.25, 0.15, 0.15]]","[19.,  0.,  0.,  1.], [210., 320., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
6,27.29,"[-16, -10,  -1,   4], [720, 700, 800, 230], [0.15, 0.25, 0.15, 0.15]]","[19.,  0.,  0.,  0.], [470., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
7,29.76,"[  5, -17,   2,   5], [390, 480, 400, 800], [0.15, 0.15, 0.25, 0.25]]","[17.,  0.,  0.,  0.], [580., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
8,16.39,"[17, 18, -7, 15], [730, 320, 630, 590], [0.15, 0.25, 0.25, 0.25]]","[ 0.,  0.,  0., 11.], [200., 200., 200., 230.], [0.25, 0.25, 0.25, 0.25]]"
9,15.41,"[  7,  10,   1, -10], [240, 530, 460, 590], [0.15, 0.25, 0.15, 0.15]]","[19.,  0., 11.,  0.], [270., 260., 230., 200.], [0.25, 0.25, 0.25, 0.25]]"
10,13.85,"[-7,  3, -5, 16], [220, 240, 590, 660], [0.15, 0.15, 0.25, 0.25]]","[11.,  0.,  0.,  8.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
11,27.73,"[ 11,  -5,  11, -12], [390, 460, 610, 680], [0.25, 0.15, 0.15, 0.15]]","[19.,  0., 11.,  0.], [360., 200., 280., 200.], [0.25, 0.25, 0.25, 0.25]]"
12,82.3,"[-17, -18, -11,   4], [420, 370, 650, 340], [0.25, 0.15, 0.15, 0.15]]","[19.,  0.,  0.,  0.], [800., 200., 200., 200.], [0.15, 0.25, 0.25, 0.25]]"
13,26.41,"[ -8,   4, -16,  11], [640, 200, 770, 560], [0.15, 0.15, 0.25, 0.15]]","[ 8., 19.,  0.,  0.], [510., 350., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
14,19.99,"[  6,  11, -12,  11], [310, 660, 420, 650], [0.25, 0.25, 0.15, 0.15]]","[7., 0., 0., 7.], [200., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
15,44.33,"[ -2,  -4,   1, -17], [210, 330, 710, 430], [0.25, 0.15, 0.25, 0.25]]","[19.,  0.,  0.,  0.], [620., 200., 200., 200.], [0.25, 0.25, 0.25, 0.25]]"
16,9.9,"[16, 10, 16, -9], [290, 320, 470, 340], [0.15, 0.15, 0.15, 0.25]]","[ 3.,  0., 13.,  0.], [200., 200., 270., 200.], [0.25, 0.25, 0.25, 0.25]]"
17,7.03,"[ 16,  18,   0, -17], [230, 560, 600, 290], [0.25, 0.15, 0.15, 0.25]]","[19.,  0., 10.,  0.], [200., 240., 240., 200.], [0.25, 0.25, 0.25, 0.25]]"
