number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
2.89,"[array([ 15, -10,  10,   3]), array([660, 390, 320, 620]), array([0.25, 0.25, 0.15, 0.15])]","[array([19.,  0.,  3.,  0.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([-11,   9,  16, -13]), array([470, 660, 550, 600]), array([0.15, 0.15, 0.15, 0.25])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([-13,  14,   6, -12]), array([340, 390, 800, 620]), array([0.25, 0.15, 0.25, 0.15])]","[array([14.,  0., 13.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([14,  0, -7,  0]), array([710, 280, 710, 300]), array([0.25, 0.15, 0.15, 0.25])]","[array([15.,  0., 12.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.49,"[array([-14,  -1, -18, -16]), array([600, 220, 800, 260]), array([0.25, 0.25, 0.15, 0.15])]","[array([ 0., 11.,  0., 16.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
1.84,"[array([-11,  12,  -5,   6]), array([410, 230, 550, 320]), array([0.15, 0.25, 0.25, 0.15])]","[array([19.,  0.,  0.,  0.]), array([230., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.41,"[array([ 15, -11,   5,  -8]), array([740, 440, 640, 240]), array([0.25, 0.25, 0.25, 0.15])]","[array([13.,  0., 14.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([  2,  17, -15, -13]), array([540, 500, 670, 540]), array([0.15, 0.25, 0.15, 0.25])]","[array([ 0., 12.,  0., 15.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
4.44,"[array([  9, -12, -17,  13]), array([320, 390, 420, 480]), array([0.25, 0.25, 0.25, 0.25])]","[array([12.,  0., 15.,  0.]), array([200., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
2.89,"[array([-12,   4, -13,  15]), array([240, 340, 650, 460]), array([0.15, 0.15, 0.25, 0.15])]","[array([19.,  0.,  3.,  0.]), array([210., 200., 200., 200.]), array([0.25, 0.25, 0.25, 0.25])]"
