number of springs: 4
Number of slots: 20
spring_constants: [600, 300, 250, 230]
spring_lengths: [0.1, 0.2, 0.17, 0.13]
rmse,initial guess,final install positions
21.94,"[-3, 12, -19, 9]","[8, 11, 0, 0]"
35.33,"[16, -16, -17, 16]","[14, 0, 0, 0]"
35.33,"[-4, -2, -13, -10]","[14, 0, 0, 0]"
3.71,"[18, 1, 11, 4]","[2, 0, 11, 3]"
10.52,"[8, 3, -3, -7]","[9, 1, 0, 0]"
1.14,"[4, 8, 18, 19]","[0, 0, 0, 16]"
62.32,"[18, 1, -19, -18]","[19, 1, 0, 0]"
19.78,"[-16, -5, -13, 6]","[11, 0, 0, 0]"
3.97,"[-9, -6, -1, 12]","[4, 0, 0, 10]"
3.97,"[13, -12, 5, 16]","[4, 0, 0, 10]"
20.57,"[16, 0, 11, -12]","[8, 0, 11, 0]"
61.76,"[-10, -15, -17, -10]","[19, 0, 0, 0]"
2.01,"[-16, 0, 16, 3]","[0, 0, 15, 2]"
1.93,"[13, 19, -3, 16]","[0, 2, 0, 16]"
5.25,"[3, 9, -11, 18]","[0, 9, 0, 10]"
51.16,"[-19, -16, -12, -4]","[17, 0, 0, 0]"
16.60,"[-6, 14, 19, -11]","[0, 8, 19, 0]"
19.78,"[-16, 4, -12, -2]","[11, 0, 0, 0]"
3.57,"[-17, 0, 13, -2]","[2, 1, 14, 0]"
51.16,"[17, -4, -19, -10]","[17, 0, 0, 0]"
24.91,"[-2, -1, -13, -3]","[12, 0, 0, 0]"
52.01,"[-9, 19, -13, -18]","[10, 19, 0, 0]"
40.59,"[9, -19, -2, 1]","[15, 0, 0, 0]"
11.57,"[18, 2, 13, -8]","[5, 0, 13, 0]"
5.72,"[19, -7, -5, 7]","[8, 0, 0, 0]"
14.76,"[-3, -19, -5, 18]","[10, 0, 0, 0]"
31.55,"[-8, 13, -19, 4]","[9, 13, 0, 0]"
5.94,"[-15, 7, 9, 4]","[1, 6, 10, 2]"
4.21,"[6, 11, -12, 14]","[2, 11, 0, 2]"
2.79,"[5, 7, 5, 14]","[0, 0, 4, 15]"
6.25,"[-7, 6, -19, 18]","[6, 6, 0, 0]"
40.59,"[8, -19, -3, -2]","[15, 0, 0, 0]"
3.74,"[-17, 14, 1, 5]","[0, 13, 0, 3]"
26.98,"[-6, 0, 2, -17]","[12, 1, 2, 0]"
3.97,"[-5, -7, 3, 12]","[4, 0, 0, 10]"
21.11,"[1, 18, -2, -12]","[3, 19, 0, 0]"
14.76,"[-3, -14, -7, 13]","[10, 0, 0, 0]"
35.33,"[-10, 1, -19, -2]","[14, 0, 0, 0]"
5.72,"[18, -9, -6, 11]","[8, 0, 0, 0]"
5.25,"[-11, 10, -2, 11]","[0, 9, 0, 10]"
51.16,"[2, -16, -15, 3]","[17, 0, 0, 0]"
4.86,"[-7, -3, 0, 7]","[5, 0, 0, 7]"
61.76,"[16, -18, -19, 0]","[19, 0, 0, 0]"
5.99,"[13, 9, -4, 9]","[2, 9, 0, 7]"
